January,February,March,April,May,June,July,August,September,October,November,December
1990,25.5,25.4,25.3,23.1,21.3,17.4,17.3,17.5,19.4,21.9,24.5,28.6
1991,29.1,28.2,25.6,23.1,20,19.5,17,18.8,21.5,23.7,23.4,24.2
1992,25.3,25,25.4,22.5,19.7,17.3,17.8,18.1,19.7,21.1,22.3,24
1993,26.5,27.3,24.7,23.6,20.3,17.3,17.6,18.9,19.8,22.3,23.2,25.7
1994,28.2,26.3,23.5,23.2,21.2,18.1,18,18.7,21.7,22.3,24.6,24.9
1995,24.8,25.1,25.1,22,20.2,17.5,16.8,21.3,19.3,21.9,24.2,23.7
1996,25.4,25.2,24.6,23.6,21,18.3,17.2,18.9,21.7,22.1,23.4,24.4
1997,24.1,26.3,25.7,24.4,20.1,18,16.7,18.7,19.4,22.9,25.5,26.8
1998,27.6,29,27,23.4,20.1,17.6,16.2,18.1,22.1,23.6,21.7,25.7
1999,26.6,26.1,25.7,21.7,20.9,17.8,17.7,18.8,20.9,22.8,22.3,23.6
2000,24.8,27.5,25.3,23.4,20.4,17.6,18.3,18.8,22.7,22.9,23.6,27.6
2001,27.3,27.3,25.8,24,19.9,19.9,17.5,19.5,22.3,24,23.5,26.2
2002,27.2,25.2,25.7,24.3,20.1,18.1,18.5,19.6,22.7,24.5,25.3,25.4
2003,27.2,27.1,25.2,22.7,20.6,19.6,17.8,19.1,22.6,21.6,22.7,26
2004,27.6,28.1,26.1,24.2,21.3,19.9,18,19.7,21.8,23.3,25.4,25.6
2005,26.6,27.4,24.3,25.1,21.2,19.2,19,20,21,24.3,23.9,28.6
2006,27,27.8,27.1,24.6,20.6,17,17.9,19.8,23.1,24.2,24.3,24.2
2007,26.4,26,26.3,23,22.4,16.8,17.1,19.9,20.9,25,23.5,24.7
2008,26,24.8,25.1,21.5,20.5,18.6,17.2,17.3,21.4,23.2,23.7,25.9
2009,27.6,25.7,25.4,22.8,20.7,17.9,18.3,20.9,23.1,21.4,26.1,25.4
2010,27.6,27.4,25.7,24.6,20.6,17.7,17.1,18.3,21,22,23.5,25.8
2011,27.4,28.4,26,22.7,19.5,18,17.4,19.8,21.7,22.2,25.2,23.1
2012,26.1,25.8,24.7,23.6,20.9,17.7,17.6,19.9,22.5,23.3,24.1,26
2013,27.6,26.2,26.4,24,21.3,18.1,19.5,21.1,24.4,25.7,24,26.4
2014,26.9,26.2,26.4,23.8,23.2,19.6,19,18.3,21.9,24.7,25.8,25.8
2015,27.5,27,26.8,22.7,20.7,18.6,17.4,19.4,20.7,24.9,26.2,26.1
2016,27.4,28.2,26.8,24.7,22.9,19,18.5,19.1,21.4,23.9,26.1,28.1
2017,29.6,28.5,25.6,23.8,21.2,18.2,19.1,19.5,23.3,24,23.8,27.8
2018,27.8,27.2,26.8,26.1,21.7,17.8,19.9,19.2,20.9,21.5,24.8,26.8
2019,29.6,27.5,26.8,24.8,22.6,18.5,19.7,19.5,21.7,24.4,26.6,26.8
