Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,84,630.6,161.6,320.4,131.2,45.2,67,204.8,205.4,46.8,36.2,43.6
1991,120,63.4,28.6,53,141.2,340.6,108.4,6,18.4,11,40.6,190.2
1992,66.2,408.6,76.4,60.8,68.2,108,14.8,48,21,70.8,138,201.6
1993,61,100.2,97.4,66.2,18.6,55.8,104.4,62,159.4,59,93.4,35.6
1994,52.2,99.2,197.4,140.2,33.2,75,76.2,23.2,24.2,50,56.6,80.8
1995,95.4,51,187.4,28.8,184,122.6,5.4,0,226.2,46.8,180.4,101.8
1996,150,54.8,66.2,43.4,177.8,166.4,54.8,146.2,121.8,23.6,103.6,40
1997,185.6,137,23.2,5.2,193.8,99.8,180.2,27.2,118.4,49,29.4,29.4
1998,99,31,27,328.4,263.8,130.8,86.8,482.6,37.6,37,69.8,54.8
1999,178,143,28,244.8,57.4,93.8,181.6,134.8,30,205.2,91.4,82.4
2000,55.8,18.6,248.4,64,55.8,37,25.4,20.6,29.4,79.4,140.8,46.4
2001,186.4,109,110.2,162.2,371.4,22,128,72.8,27.6,30.6,98.4,40.2
2002,98.4,348.2,45.4,68.4,92.8,28.4,24.2,19.8,21.8,5.8,31.8,75
2003,13.6,59.4,132,192.2,348.6,76.4,58.2,43,5.8,102.8,108.8,59.6
2004,50.8,129.4,100.8,33.2,8,39,43.8,153.4,60.2,234,66.8,75.8
2005,67.8,125,153.6,33.4,48.4,79,62.8,1.6,51.2,43,125,25.2
2006,121.4,51.2,40.2,9.8,40.4,176.8,140.2,86,192,17.2,44.6,74.2
2007,45.4,107.6,65.4,179.6,9.8,510.6,67.2,152.2,41.2,27,170,123.2
2008,57,258.4,63.4,146.6,3,127.2,89.6,44.2,99.2,66.6,73.2,54.2
2009,24.8,127.6,60.6,152.6,125.8,129.8,53,6,16,180,13.2,66.8
2010,36,239.4,51.4,29.8,168.4,147.2,114.6,27,42.2,85,129.6,83.2
2011,53.8,18,191.6,206.2,135.6,93.8,282.2,52.2,71.6,37.4,148.4,78.4
2012,138.8,111,269.8,187,37.2,244.2,56.2,19,23.8,29.4,52,45.2
2013,137.8,165.4,65.6,199.8,110.2,316.4,32.6,14.8,35.8,42.2,192.8,31
2014,17.4,58.2,102.6,121,27.4,68,16.4,215.2,50.4,86.6,16,118
2015,164.8,59,65.2,366.8,109.8,110.6,47,71.8,80,43,122.6,96.6
2016,249.8,25.8,193.2,155,7.2,305,104.6,151.4,70,31.4,27.2,65
2017,48.4,205.2,326.6,82.6,30,174.6,12.6,24.2,0.2,,61.2,47.2
2018,37.8,112.8,118.8,23.2,23.2,,11.2,7.8,51,167.6,176.2,95
2019,48.8,85.4,229.2,11.2,14.6,171.4,43.4,73,112.8,34.2,26.2,1.6
